Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.03366061,0.007455425,1.034233539,1.019230547,1.049457,0.178249804,0.067116671,1.017984794,1.004681035,1.031465,-4.41E-03,9.17E-04,0.945143829,0.92365903,0.967128,0.001159237,0.000946758,1.007563497,0.995483571,1.019790
Female,0.03423926,0.007959591,1.034832171,1.018813242,1.051103,0.204863674,0.07162755,1.020697653,1.006468197,1.035128,-5.16E-03,9.78E-04,0.93612975,0.913449754,0.959373,0.00132388,0.00100964,1.008642351,0.995751457,1.021700
Male,0.03304106,0.008196653,1.033592978,1.017120525,1.050332,0.14838113,0.07380314,1.014948744,1.000372767,1.029737,-0.003562001,0.001008571,0.955430164,0.93155817,0.979914,0.000976658,0.00104188,1.006368471,0.993098651,1.019816
Warm All,0.022854887,0.006242584,1.023118061,1.010676008,1.035713,2.90E-01,7.36E-02,1.029434034,1.014682414,1.044400,-0.001014757,0.000742412,0.987095098,0.968879986,1.005653,-0.000239745,0.000894452,0.998442874,0.98712988,1.009886
Warm Female,0.019451118,0.006860726,1.019641524,1.006022156,1.033445,3.30E-01,8.09E-02,1.03353823,1.017278872,1.050057,-0.001811514,0.00081406,0.977079387,0.957326748,0.997240,-0.000740098,0.000982502,0.995200915,0.982821546,1.007736
Warm Male,0.026697173,0.006999316,1.027056735,1.0130631,1.041244,0.245512981,0.082609915,1.024855163,1.008394795,1.041584,-0.000114084,0.000834077,0.998540797,0.977863118,1.019656,0.000323683,0.0010033,1.002106151,0.989378702,1.014997
Cold All,0.04831115,0.008796134,1.049497156,1.031558461,1.067748,0.12091022,0.06390529,1.012164414,0.99956568,1.024922,-9.42E-03,1.13E-03,0.886388546,0.861614657,0.911875,0.00271379,0.000998459,1.017796129,1.004931389,1.030826
Cold Female,0.05440198,0.009195046,1.055908971,1.037049529,1.075111,0.13907417,0.06693022,1.014004575,1.000789405,1.027394,-9.99E-03,1.18E-03,0.879933547,0.854198903,0.906444,0.003445271,0.001043415,1.022646893,1.009142697,1.036332
Cold Male,0.04144902,0.009565498,1.042320023,1.022960264,1.062046,0.10064685,0.06933613,1.010115504,0.99648101,1.023937,-8.78E-03,1.23E-03,0.893716888,0.866615206,0.921666,0.001888077,0.00108589,1.012348117,0.998439481,1.026451
Age 0-10 All,0.02940482,0.03247838,1.029841411,0.966327182,1.097530,0.1076668,0.2852405,1.010824849,0.955863214,1.068947,0.000942105,0.003982998,1.012131946,0.91588313,1.118495,0.002137982,0.004137155,1.013993894,0.961933005,1.068872
Age 0-10 Female,-0.03225049,0.04102951,0.968264011,0.893446941,1.049346,0.06187049,0.35679265,1.006206228,0.938244868,1.079090,-0.006754624,0.004919853,0.91717298,0.810674664,1.037662,-0.00271997,0.005402695,0.982475566,0.91712625,1.052481
Age 0-10 Male,0.08850697,0.03915818,1.092541868,1.011826322,1.179696,0.1692319,0.3466831,1.017067198,0.950253301,1.088579,0.008475383,0.004921933,1.114588081,0.985115336,1.261077,0.006318149,0.004839713,1.041922921,0.979620551,1.108188
Age 11-60 All,0.03482067,0.008233413,1.035434008,1.018858803,1.052279,0.14546791,0.07418775,1.01465311,1.000005992,1.029515,-4.93E-03,1.02E-03,0.938812854,0.91518506,0.963051,0.001215661,0.001047082,1.007933098,0.994576731,1.021469
Age 11-60 Female,0.032042848,0.009009646,1.032561748,1.014487888,1.050958,0.16295399,0.08096167,1.016428893,1.000427003,1.032687,-5.43E-03,1.11E-03,0.932812903,0.907191289,0.959158,0.001007788,0.001143897,1.006572124,0.99200947,1.021349
Age 11-60 Male,0.039623843,0.010218842,1.04041934,1.019788154,1.061468,0.11562413,0.09243575,1.011629516,0.993466443,1.030125,-0.004066836,0.001264286,0.94927618,0.919639156,0.979868,0.001578315,0.001302279,1.010311852,0.993688018,1.027214
Age 60+All,0.03294773,0.007933025,1.033496517,1.017551245,1.049692,0.203453518,0.071370618,1.020553729,1.006376957,1.034930,-4.08E-03,9.73E-04,0.949149517,0.926270254,0.972594,0.001110752,0.001006007,1.007246014,0.994418991,1.020238
Age 60+ Female,0.0374792,0.009050308,1.038190402,1.01993673,1.056771,0.250476952,0.081586568,1.025364024,1.009097864,1.041892,-4.84E-03,1.11E-03,0.939912037,0.914118868,0.966433,0.001705336,0.001146003,1.011146347,0.996490778,1.026017
Age 60+ Male,0.029188625,0.008838247,1.029618788,1.011936336,1.047610,0.16453005,0.07938381,1.016589101,1.000894178,1.032530,-0.003434484,0.001084126,0.956990901,0.931312918,0.983377,0.000617155,0.001121922,1.004019565,0.989770902,1.018473
All: LAG 1,0.022359271,0.007508261,1.022611113,1.007672362,1.037771,0.06161768,0.06675935,1.006180791,0.993100845,1.019433,-0.001582844,0.000912298,0.97994346,0.9577695,1.002631,0.001165243,0.000935069,1.007602838,0.995670708,1.019678
Female,0.021068201,0.008021704,1.021291702,1.005359975,1.037476,0.05915542,0.07116004,1.005933073,0.992000343,1.020061,-0.001864857,0.000975024,0.976412472,0.952817807,1.000591,0.001253569,0.00099759,1.008181486,0.995449285,1.021077
Male,0.023828493,0.008244514,1.02411466,1.00769873,1.040798,0.06434555,0.07348778,1.006455301,0.992062619,1.021057,-0.001265379,0.00100123,0.983933612,0.959526151,1.008962,0.00107004,0.001028243,1.006979504,0.993874283,1.020258
Warm All,0.017783943,0.006312309,1.017943019,1.005426488,1.030615,0.263583787,0.073691143,1.026708833,1.01198618,1.041646,0.001256141,0.000736831,1.016208557,0.997595892,1.035168,0.001388069,0.0008831,1.009063274,0.997774237,1.020480
Warm Female,0.016186632,0.006926917,1.016318345,1.002613283,1.030211,0.282775485,0.080798531,1.028681154,1.012518748,1.045102,0.000594747,0.000808438,1.00764181,0.98741059,1.028288,0.001327795,0.000967141,1.008668016,0.996316092,1.021173
Warm Male,0.019605373,0.007089034,1.01979882,1.005727204,1.034067,0.241743294,0.082853006,1.024468897,1.007966707,1.041241,0.001998657,0.000827384,1.025912854,1.004837062,1.047431,0.001463066,0.000993839,1.00955529,0.996853374,1.022419
Cold All,0.029955194,0.008854685,1.030408365,1.012679726,1.048447,-0.02849411,0.06351973,0.997154645,0.984817161,1.009647,-5.93E-03,1.13E-03,0.926873923,0.900924603,0.953571,0.001510652,0.000991666,1.009867607,0.997189374,1.022707
Cold Female,0.029448663,0.009288193,1.029886563,1.011307254,1.048807,-0.03913716,0.06652124,0.996093933,0.983190996,1.009166,-5.67E-03,1.19E-03,0.929952997,0.902599241,0.958136,0.001745608,0.001039545,1.011411067,0.998104448,1.024895
Cold Male,0.030517338,0.009585449,1.030987765,1.011798923,1.050541,-0.01606351,0.06888668,0.998394938,0.985005415,1.011966,-6.23E-03,1.22E-03,0.923378472,0.895485343,0.952140,0.001248512,0.001074133,1.008148347,0.994446352,1.022039
Age 0-10 All,0.05589462,0.03270429,1.05748624,0.991827787,1.127491,0.3424383,0.2805997,1.0348369,0.979460165,1.093345,-0.000858895,0.004123858,0.989066362,0.891853681,1.096875,0.004180562,0.004108082,1.027546224,0.975150646,1.082757
Age 0-10 Female,0.01598147,0.04175069,1.016109857,0.936271405,1.102756,0.3602244,0.3491709,1.036679109,0.968104681,1.110111,-0.00975798,0.005161781,0.882583264,0.775380885,1.004607,0.00495519,0.005155363,1.03273305,0.967083353,1.102839
Age 0-10 Male,0.09322109,0.03902199,1.0977044,1.016878855,1.184954,0.336822,0.3428447,1.034255868,0.967040056,1.106144,0.007608578,0.005035371,1.102289961,0.971477093,1.250717,0.003548515,0.004979437,1.02333341,0.960431439,1.090355
Age 11-60 All,0.015918219,0.008304286,1.016045589,0.999641883,1.032718,-0.03022642,0.07391363,0.996981922,0.982642691,1.011530,-0.001356154,0.001010838,0.982791024,0.958180912,1.008033,0.000641102,0.001034317,1.004175856,0.991030436,1.017496
Age 11-60 Female,0.012678736,0.009074974,1.012759452,0.994904812,1.030935,-0.05601713,0.08058798,0.994413947,0.978830334,1.010246,-0.001171672,0.001106009,0.985114499,0.958155731,1.012832,0.000391304,0.00112944,1.002546711,0.988224294,1.017077
Age 11-60 Male,0.02146887,0.01031365,1.021700984,1.001254903,1.042565,0.01394923,0.09216337,1.001395896,0.983469063,1.019650,-0.001659519,0.001252879,0.978982176,0.948689167,1.010242,0.001072541,0.001286201,1.006995874,0.990629495,1.023633
Age 60+All,0.026711323,0.00797399,1.027071268,1.011143937,1.043249,0.12558923,0.07086431,1.012638117,0.998670403,1.026801,-0.001755336,0.000967201,0.977782232,0.954341754,1.001798,0.001508818,0.000992853,1.009855564,0.997162398,1.022710
Age 60+ Female,0.029763644,0.009112955,1.030211009,1.011973366,1.048777,0.17308039,0.08079514,1.017458691,1.001473276,1.033699,-0.002473655,0.001104631,0.968833233,0.942352598,0.996058,0.002076085,0.001132597,1.013586015,0.999065703,1.028317
Age 60+ Male,0.02421283,0.008872002,1.024508341,1.006847041,1.042479,0.08615106,0.07898286,1.008652323,0.993157979,1.024388,-0.001160338,0.001076425,0.985257425,0.95900626,1.012227,0.001040663,0.001106055,1.006787239,0.992699945,1.021074
All: LAG2,0.017342509,0.007554059,1.017493763,1.002539773,1.032671,0.05409447,0.06587439,1.005424104,0.992526136,1.018490,-0.001127957,0.000903523,0.985665881,0.96357455,1.008264,0.001425566,0.000937275,1.00930924,0.997328869,1.021434
Female,0.01434337,0.0080757,1.01444673,0.9985161,1.030632,0.06702645,0.07025567,1.006725158,0.992957449,1.020684,-0.001866449,0.000965821,0.976392568,0.953018394,1.000340,0.001165765,0.001002441,1.007606254,0.994819838,1.020557
Male,0.02069188,0.00828781,1.020907441,1.004457678,1.037627,0.03980596,0.07245753,1.003988529,0.989830978,1.018349,-0.000304562,0.000991038,0.996109198,0.971648136,1.021186,0.001716796,0.001027776,1.01122167,0.998067178,1.024550
Warm All,0.0212892,0.00638332,1.021517432,1.008816531,1.034378,3.36E-01,7.25E-02,1.034143926,1.019550965,1.048946,0.001702724,0.000732518,1.022034109,1.003423295,1.040990,0.001388022,0.00089677,1.009062966,0.997600181,1.020657
Warm Female,0.019748218,0.007008887,1.019944504,1.006028901,1.034053,3.92E-01,7.94E-02,1.039939824,1.023886497,1.056245,0.00038017,0.000806405,1.00487804,0.984752521,1.025415,0.001226453,0.00098488,1.008003806,0.995435022,1.020731
Warm Male,0.022995115,0.007164926,1.023261541,1.008992048,1.037733,0.273072821,0.081669987,1.027683543,1.01136405,1.044266,0.003165489,0.000819115,1.041350328,1.020169016,1.062971,0.00156751,0.001005935,1.010240898,0.99737665,1.023271
Cold All,0.016423395,0.008885542,1.016559,0.999008225,1.034418,-0.06161713,0.06292575,0.993857231,0.981674826,1.006191,-5.64E-03,1.12E-03,0.930338806,0.90451686,0.956898,0.002121678,0.000985499,1.013886437,1.001236417,1.026696
Cold Female,0.011995773,0.009331425,1.012068011,0.993725945,1.030749,-0.0669794,0.06602112,0.993324441,0.980553491,1.006262,-5.67E-03,1.18E-03,0.929941391,0.90289429,0.957799,0.001805434,0.001035584,1.01180445,0.998543043,1.025242
Cold Male,0.02134407,0.00960141,1.021573484,1.002528498,1.040980,-0.05552857,0.06807221,0.994462532,0.981282382,1.007820,-5.60E-03,1.21E-03,0.930794031,0.902854755,0.959598,0.002473574,0.001064248,1.016208181,1.002522889,1.030080
Age 0-10 All,0.05850825,0.03327902,1.060253733,0.99330389,1.131716,0.1601462,0.2771984,1.016143541,0.962408515,1.072879,0.001682151,0.004092302,1.021765009,0.922068153,1.132241,0.006373943,0.004042705,1.042300854,0.989977135,1.097390
