Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.024630047,0.006894788,1.024935872,1.011178277,1.038881,0.12966999,0.06155042,1.013051435,1.000903525,1.025347,-0.001560067,0.000837796,0.980229196,0.959841145,1.001050,0.002024201,0.000868329,1.013244247,1.002096994,1.024516
Female,0.023990344,0.008927677,1.024280427,1.006513216,1.042361,0.06559871,0.08037006,1.006581434,0.990849463,1.022563,-0.000826069,0.001090409,0.989482028,0.96278046,1.016924,0.001834042,0.001121653,1.011992615,0.997634217,1.026558
Male,0.025443264,0.009965693,1.025769707,1.005928007,1.046003,0.20950414,0.08795405,1.021171415,1.003718316,1.038928,-0.002495138,0.001202301,0.968566858,0.939787875,0.998227,0.002275423,0.001258412,1.014900166,0.998758851,1.031302
Warm All,0.024792829,0.006493379,1.025102727,1.012138891,1.038233,0.3783815,0.07645772,1.038563128,1.023115554,1.054244,-0.000370797,0.000766502,0.99526505,0.976308946,1.014589,0.001625164,0.000915955,1.010619558,0.998894916,1.022482
Warm Female,0.02830446,0.008569882,1.028708838,1.011573957,1.046134,0.327827083,0.101404122,1.033325982,1.012991162,1.054069,0.000942053,0.001012108,1.012131276,0.986755011,1.038160,0.001806358,0.00120883,1.011810527,0.996347519,1.027514
Warm Male,0.020347153,0.009221061,1.020555567,1.002276461,1.039168,0.4408155,0.1080657,1.045067577,1.023164906,1.067439,-0.00203168,0.00108633,0.974329727,0.948134081,1.001249,0.001403893,0.001299491,1.009167067,0.992597325,1.026013
Cold All,0.026898967,0.007440801,1.02726401,1.012391138,1.042355,0.01737702,0.05292831,1.001739213,0.991400938,1.012185,-0.003568371,0.000944989,0.955352255,0.932969241,0.978272,0.002838349,0.000834316,1.018620508,1.007850744,1.029505
Cold Female,0.022225748,0.009458237,1.02247458,1.003694411,1.041606,-0.05483098,0.067979,0.994531907,0.981368766,1.007872,-0.003763119,0.001214008,0.952973747,0.924386545,0.982445,0.002442904,0.001057799,1.016005615,1.002405405,1.029790
Cold Male,0.033019432,0.010949161,1.033570623,1.011626141,1.055991,0.10832441,0.07674079,1.010891324,0.995800091,1.026211,-0.003368103,0.001372224,0.95780438,0.92539179,0.991352,0.003377169,0.00123242,1.022194308,1.006270143,1.038370
Age 0-10 All,0.03641819,0.0273014,1.037089456,0.983052695,1.094097,0.2007199,0.2383827,1.020274787,0.973700985,1.069076,-0.002080982,0.003304178,0.973715055,0.896253674,1.057871,0.005814398,0.00336726,1.038516847,0.994907705,1.084037
Age 0-10 Female,0.03578155,0.03716287,1.036429414,0.963620557,1.114740,0.08352607,0.32901908,1.008387587,0.945411371,1.075559,-0.003057498,0.004637375,0.961619945,0.856005534,1.080265,0.003743128,0.004554481,1.02462873,0.966867557,1.085841
Age 0-10 Male,0.03834867,0.03581148,1.03909347,0.968659782,1.114649,0.2830887,0.308996,1.028713374,0.968260278,1.092941,-0.000872915,0.004235553,0.988888884,0.889198435,1.099756,0.007713499,0.004453989,1.051415912,0.993415696,1.112802
Age 11-60 All,0.01375653,0.01009447,1.013851586,0.993989505,1.034111,-0.02479302,0.09074588,0.997523769,0.979938471,1.015425,-0.000618628,0.00121955,0.992112836,0.962217741,1.022937,0.000564328,0.001273116,1.003674865,0.987527068,1.020087
Age 11-60 Female,0.01651247,0.01300564,1.016649554,0.991061603,1.042898,-0.1329076,0.117281,0.986797172,0.964372319,1.009743,0.001056902,0.001577779,1.013620268,0.974281528,1.054547,0.000505604,0.001635275,1.003291833,0.982606072,1.024413
Age 11-60 Male,0.009490158,0.015582268,1.009535332,0.97916894,1.040843,0.1338903,0.1393928,1.013479064,0.986164642,1.041550,-0.003093299,0.001870779,0.96117938,0.917109566,1.007367,0.000647494,0.001973862,1.004217579,0.979279391,1.029791
Age 60+All,0.03206964,0.009362765,1.032589412,1.013813152,1.051713,0.244448468,0.083195448,1.024746072,1.008171747,1.041593,-0.002272731,0.001142268,0.971328112,0.943887611,0.999566,0.002804161,0.001179586,1.018394173,1.003204244,1.033814
Age 60+ Female,0.02944917,0.01223896,1.029887085,1.005475746,1.054891,0.23665766,0.11003163,1.023948022,1.002101772,1.046271,-0.00227002,0.001500019,0.971361818,0.935486342,1.008613,0.002834733,0.001539193,1.018596566,0.998817146,1.038768
Age 60+ Male,0.035121159,0.013455482,1.035745191,1.008786793,1.063424,0.25289215,0.11791223,1.0256117,1.002180792,1.049590,-0.002274663,0.001631967,0.971304091,0.9323393,1.011897,0.002764123,0.001698128,1.018129173,0.996339365,1.040396
All: LAG 1,0.025849925,0.006958377,1.026186932,1.01228637,1.040278,0.07087534,0.06137313,1.00711271,0.99507059,1.019301,-0.000304435,0.000844269,0.996110809,0.975234049,1.017434,0.002504849,0.000868048,1.016414783,1.005236246,1.027718
Female,0.029470769,0.008978628,1.02990933,1.011943418,1.048194,0.1105065,0.0791228,1.011111934,0.995552501,1.026915,-0.000203032,0.001093586,0.997404562,0.970411867,1.025148,0.003180474,0.00111676,1.020888249,1.006466376,1.035517
Male,0.02122215,0.01007059,1.021448941,1.001484895,1.041811,0.01983167,0.08874524,1.001985135,0.98470724,1.019566,-0.000429338,0.001213603,0.994519553,0.964695878,1.025265,0.001624876,0.001259976,1.010617666,0.994524644,1.026971
Warm All,0.021477803,0.0065594,1.021710111,1.00865865,1.034930,0.15222186,0.076731,1.015338634,1.000182927,1.030724,0.0016896,0.000772848,1.021862436,1.002240175,1.041869,0.002186832,0.000912269,1.01431591,1.002595458,1.026173
Warm Female,0.026718343,0.008619826,1.027078478,1.009871893,1.044578,0.1874811,0.1007044,1.018924959,0.999010537,1.039236,0.002451669,0.001015356,1.03187895,1.005925599,1.058502,0.002132562,0.001199571,1.013958171,0.998580127,1.029573
Warm Male,0.014929477,0.009339057,1.015041478,0.996630614,1.033792,0.1072135,0.1093216,1.01077903,0.989351418,1.032671,0.000707693,0.0011002,1.009099617,0.981627508,1.037341,0.002282837,0.001297414,1.014949077,0.998310814,1.031865
Cold All,0.031091484,0.00750467,1.031579873,1.016517257,1.046866,0.03912618,0.05255387,1.003920282,0.993632419,1.014315,-0.003682759,0.000949159,0.953954484,0.931506773,0.976943,0.002982766,0.000838351,1.019577145,1.008745409,1.030525
Cold Female,0.033980686,0.009519487,1.034564625,1.015440483,1.054049,0.08309221,0.06663806,1.008343838,0.995259433,1.021600,-0.004677231,0.001213862,0.941888331,0.913637017,0.971013,0.004423783,0.001058305,1.029171994,1.015388993,1.043142
Cold Male,0.02731562,0.01102596,1.027692112,1.005721041,1.050143,-0.01717043,0.07699586,0.99828443,0.983332239,1.013464,-0.002422309,0.001378659,0.969470187,0.936511617,1.003589,0.001091216,0.001237788,1.007118118,0.991361017,1.023126
Age 0-10 All,0.03156147,0.0273847,1.032064815,0.978130148,1.088973,0.1407184,0.2350952,1.014171314,0.968499978,1.061996,-8.47277E-05,0.00330597,0.998916073,0.919408555,1.085299,0.006941827,0.003387687,1.046155353,1.001964671,1.092295
Age 0-10 Female,0.01530411,0.03752592,1.015421818,0.943417184,1.092922,0.04078568,0.32058577,1.004086897,0.942936589,1.069203,-0.000365137,0.004635261,0.995337158,0.88606659,1.118083,0.006895051,0.004541229,1.045837324,0.987047193,1.108129
Age 0-10 Male,0.04652446,0.03577479,1.047623704,0.976682037,1.123718,0.2253947,0.3078792,1.022795403,0.96290083,1.086416,0.000118359,0.004236428,1.001516145,0.900532966,1.113823,0.007265433,0.004509118,1.048358193,0.989831207,1.110346
Age 11-60 All,0.02527605,0.01017339,1.025598198,1.005350469,1.046254,0.05555861,0.08963585,1.005571323,0.9880591,1.023394,-0.00038144,0.001221218,0.995129468,0.965103095,1.026090,0.002383893,0.001274458,1.015615979,0.999258984,1.032241
Age 11-60 Female,0.03332227,0.01310381,1.033883675,1.007668052,1.060781,0.07787783,0.11498628,1.007818187,0.985358714,1.030790,0.000730897,0.00157781,1.009399377,0.970223699,1.050157,0.002991032,0.001641398,1.019631929,0.998531377,1.041178
Age 11-60 Male,0.01375975,0.01570465,1.013854851,0.983122681,1.045548,0.02421903,0.13914498,1.002424838,0.975455719,1.030140,-0.00198355,0.001875589,0.974930161,0.93011763,1.021902,0.001494546,0.001967714,1.009761888,0.984763146,1.035395
Age 60+All,0.025641543,0.009446166,1.025973115,1.007152516,1.045145,0.07646081,0.08346042,1.007675387,0.99132568,1.024295,-0.000274825,0.001154201,0.996488423,0.968047275,1.025765,0.002139977,0.001174706,1.014007043,0.998944653,1.029297
