Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.014166142,0.005452854,1.014266957,1.003484605,1.025165,0.11939895,0.04830137,1.01201146,1.002475886,1.021638,-0.001248354,0.000655638,0.984148061,0.968092556,1.000470,0.001847818,0.000685706,1.012083237,1.003280294,1.020963
Female,0.023789183,0.007370567,1.024074403,1.009386653,1.038976,0.188228389,0.064842812,1.019001105,1.006132374,1.032034,-0.001555989,0.000886809,0.980280366,0.95871165,1.002334,0.00292996,0.000925878,1.019227248,1.007275387,1.031321
Male,0.003621037,0.007637312,1.003627601,0.988716052,1.018764,0.04145416,0.06818663,1.00415402,0.990823203,1.017664,-0.000899966,0.000917681,0.988546533,0.966047442,1.011570,0.000656522,0.000961863,1.004276514,0.992045072,1.016659
Warm All,0.007460368,0.005089187,1.007488266,0.99748872,1.017588,0.06348276,0.06001834,1.006368469,0.994599318,1.018277,-0.000612845,0.000593168,0.992186272,0.977530478,1.007062,0.001277073,0.000716519,1.00833552,0.99917286,1.017582
Warm Female,0.019029756,0.006859749,1.019211976,1.005600271,1.033008,0.12109279,0.08064833,1.012182893,0.996309035,1.028310,-0.000539932,0.000800688,0.993112699,0.973362413,1.013264,0.002946399,0.000964442,1.019336163,1.006888222,1.031938
Warm Male,-0.005062283,0.00725881,0.994950509,0.980895302,1.009207,0.000122429,0.085935364,1.000012243,0.983309763,1.016998,-0.000675602,0.000845398,0.991389577,0.970584279,1.012641,-0.000535206,0.001023762,0.996527205,0.98361416,1.009610
Cold All,0.022729729,0.005945442,1.022990018,1.011138236,1.034981,0.145530968,0.041554135,1.014659509,1.006429065,1.022957,-0.002223947,0.000752517,0.971934837,0.95375766,0.990458,0.002490879,0.000664736,1.016322492,1.007751869,1.024966
Cold Female,0.029991257,0.008062144,1.030445525,1.014290604,1.046858,0.21846,0.05586016,1.022086371,1.010957002,1.033338,-0.003131475,0.001018141,0.960709812,0.936481041,0.985565,0.003165175,0.000901287,1.02078673,1.009132693,1.032575
Cold Male,0.014694609,0.008175196,1.014803106,0.998672107,1.031195,0.06211638,0.05769486,1.00623097,0.994916411,1.017674,-0.001198988,0.00103617,0.984770119,0.959500465,1.010705,0.001733564,0.000914301,1.011331892,0.999620049,1.023181
Age 0-10 All,0.06293486,0.03154594,1.064957466,1.001105428,1.132882,0.3180065,0.2676459,1.032311693,0.979553967,1.087911,0.000429429,0.003838192,1.005511824,0.913204099,1.107150,0.006484157,0.003952994,1.043047817,0.991819521,1.096922
Age 0-10 Female,0.09363624,0.03987072,1.098160206,1.015610215,1.187420,0.3908162,0.3492822,1.039855353,0.971049638,1.113536,0.002792567,0.004905835,1.036391385,0.91637214,1.172130,0.010903192,0.005039504,1.073442472,1.006689744,1.144622
Age 0-10 Male,0.033656,0.04058763,1.034228771,0.955141526,1.119865,0.253405,0.3344027,1.0256643,0.960594967,1.095141,-0.001725548,0.004881943,0.978155118,0.865398486,1.105603,0.002292601,0.005053163,1.015013494,0.95172858,1.082507
Age 11-60 All,0.013651345,0.008125952,1.01374495,0.997727066,1.030020,0.06143335,0.07278672,1.006162244,0.991910039,1.020619,-0.0008217,0.000970604,0.989537354,0.965732617,1.013929,0.001949537,0.001023536,1.01275262,0.99963221,1.026045
Age 11-60 Female,0.02719922,0.01137768,1.027572495,1.004910987,1.050745,0.16795068,0.10098203,1.016936898,0.997007078,1.037265,-0.001197537,0.001358888,0.984788409,0.951781054,1.018940,0.003386273,0.001433817,1.022254799,1.003750963,1.041100
Age 11-60 Male,0.000637137,0.011280931,1.00063734,0.978755426,1.023008,-0.04395615,0.10197044,0.995614032,0.975913014,1.015713,-0.000471298,0.001347494,0.993985547,0.960944583,1.028163,0.000584556,0.001420433,1.00380684,0.985805006,1.022137
Age 60+All,0.012387666,0.007222026,1.012464711,0.998234056,1.026898,0.15283489,0.06354673,1.015400879,1.002832333,1.028127,-0.001659622,0.000871793,0.97898088,0.957801522,1.000629,0.001563351,0.000907378,1.01021359,0.998602769,1.021959
Age 60+ Female,0.01871079,0.00950146,1.018886934,1.000087932,1.038039,0.19353908,0.08306477,1.019542409,1.00307794,1.036277,-0.001985065,0.001146663,0.974911256,0.947265076,1.003364,0.002311807,0.001190758,1.015140215,0.999856499,1.030658
Age 60+ Male,0.00469764,0.01043407,1.004708691,0.984370294,1.025467,0.10056305,0.09259232,1.01010704,0.991940861,1.028606,-0.001236416,0.001260396,0.98429845,0.953661073,1.015920,0.000642603,0.00131528,1.004185652,0.987499043,1.021154
All: LAG 1,0.013329922,0.005493851,1.013419161,1.002565259,1.024391,0.06764281,0.0485013,1.00678721,0.997261782,1.016404,-0.000843338,0.000661541,0.989263325,0.972980272,1.005819,0.002139689,0.00068691,1.014005146,1.005170071,1.022918
Female,0.018159241,0.007431245,1.018325123,1.003600467,1.033266,0.07187991,0.06562931,1.007213887,0.994340721,1.020254,-0.000378266,0.000894271,0.9951699,0.973091385,1.017749,0.002599968,0.000929092,1.017043404,1.005075998,1.029153
Male,0.007998899,0.007654508,1.008030976,0.993020534,1.023268,0.06275936,0.06751977,1.006295671,0.993066211,1.019701,-0.001358749,0.000921839,0.982758383,0.960290831,1.005752,0.001633298,0.000957797,1.010672989,0.998415354,1.023081
Warm All,0.01276875,0.005123488,1.012850619,1.002730434,1.023073,0.14620533,0.06019663,1.014727936,1.002825979,1.026771,-0.000728362,0.000600844,0.99072029,0.975898185,1.005768,0.003096138,0.000712958,1.020328768,1.011102997,1.029639
Warm Female,0.015972984,0.006898173,1.016101234,1.002455575,1.029933,0.10574535,0.08105884,1.010630643,0.994701091,1.026815,-8.67286E-05,0.000810275,0.99889049,0.978789857,1.019404,0.003890324,0.000959355,1.025609537,1.013150646,1.038222
Warm Male,0.009289217,0.007277346,1.009332496,0.995037971,1.023832,0.19046827,0.08549431,1.019229375,1.002292566,1.036452,-0.001419657,0.00085151,0.9819925,0.961236996,1.003196,0.002231475,0.001015043,1.014610289,1.001574177,1.027816
Cold All,0.012294427,0.006008869,1.012370314,1.000517177,1.024364,0.03303332,0.04178544,1.003308794,0.995125306,1.011560,-0.001167926,0.000755118,0.98516173,0.966674094,1.004003,0.00128397,0.000670787,1.008380725,0.9998,1.017035
Cold Female,0.019367067,0.008171179,1.019555825,1.003357179,1.036016,0.05408947,0.05678976,1.005423602,0.994294493,1.016677,-0.000740257,0.001022515,0.990569456,0.965481694,1.016309,0.001506486,0.000912953,1.009840262,0.998162829,1.021654
Cold Male,0.004581054,0.00820407,1.004591563,0.988566937,1.020876,0.01086495,0.05705678,1.001087085,0.989954166,1.012345,-0.001664548,0.001035418,0.97891916,0.953817638,1.004681,0.001041455,0.000914934,1.006792421,0.995125113,1.018597
Age 0-10 All,0.02526536,0.03186702,1.025587234,0.963489201,1.091688,0.2499637,0.2728171,1.025311399,0.971925832,1.081629,-0.004071707,0.00383567,0.949216995,0.862131784,1.045099,0.002249557,0.003986062,1.014729547,0.964485665,1.067591
