Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.006969838,0.001758184,1.006994184,1.003530013,1.010470,0.06839199,0.01555063,1.00686264,1.003798471,1.009936,-0.000942496,0.000209118,0.98800853,0.982838665,0.993206,0.00074194,0.000221308,1.004834254,1.002005157,1.007671
Female,0.006756494,0.00210433,1.006779371,1.002635474,1.010940,0.059378446,0.018649338,1.005955509,1.002285181,1.009639,-0.001193035,0.000249907,0.98484516,0.978689825,0.991039,0.000838321,0.000264768,1.00546396,1.002078103,1.008861
Male,0.007222857,0.002154421,1.007249004,1.003004697,1.011511,0.079318243,0.019015971,1.007963365,1.004213546,1.011727,-0.000635232,0.000256735,0.991901997,0.985533712,0.998311,0.000622977,0.000271194,1.004057557,1.000594517,1.007533
Warm All,0.006368574,0.001595134,1.006388896,1.003247373,1.009540,0.08813244,0.01867108,1.008852195,1.005167016,1.012551,-0.000277273,0.000184328,0.996457195,0.991859803,1.001076,0.000249498,0.000227664,1.001623054,0.99872212,1.004532
Warm Female,0.007107573,0.001903995,1.007132891,1.003381446,1.010898,0.076593245,0.022316312,1.007688732,1.00329073,1.012106,-0.00027061,0.000220022,0.99654219,0.991056529,1.002058,0.000372753,0.000271613,1.002425833,0.998963082,1.005901
Warm Male,0.005453491,0.001967828,1.005468388,1.001597823,1.009354,0.1023061,0.0230108,1.010283122,1.005736886,1.014850,-0.000284578,0.000227107,0.996364028,0.990703218,1.002057,9.55674E-05,0.000280619,1.000621381,0.997050455,1.004205
Cold All,0.007949017,0.001955465,1.007980694,1.004124789,1.011851,0.06200366,0.01384203,1.006219628,1.003493416,1.008953,-0.002066682,0.000242341,0.9738933,0.96799014,0.979832,0.001098637,0.000217669,1.007166699,1.004377595,1.009964
Cold Female,0.006801251,0.002344581,1.006824432,1.002208307,1.011462,0.055773213,0.016616755,1.005592904,1.002323132,1.008873,-0.002772145,0.000289111,0.965138701,0.95816366,0.972165,0.001192451,0.000260717,1.007781048,1.004439224,1.011134
Cold Male,0.009343329,0.002384968,1.009387114,1.004679708,1.014117,0.069490401,0.016865593,1.006973241,1.003650029,1.010307,-0.001205273,0.000298281,0.9846909,0.977349693,0.992087,0.00098504,0.000266048,1.006423303,1.003017853,1.009840
Age 0-10 All,0.008356173,0.005146284,1.008391183,0.998270953,1.018614,0.121422069,0.044401028,1.012216223,1.003445528,1.021064,-1.65293E-05,0.000608715,0.999788447,0.984636221,1.015174,0.002044233,0.000640593,1.013376186,1.005139521,1.021680
